1789 les amants de la bastille | Au palais royal
Daniel Balavoine | Dieu que l'Amour est triste
Daniel Balavoine | Je n'suis pas un héros
Daniel Balavoine | La vie ne m'apprend rien
Daniel Balavoine | Lady Marlène
Daniel Balavoine | L'Aziza
Daniel Balavoine | Le chanteur
Daniel Balavoine | Lipstick Polychrome
Daniel Balavoine | Lucie
Daniel Balavoine | Mon fils ma Bataille
Daniel Balavoine | Partir avant les miens
Daniel Balavoine | Petit homme mort au combat
Daniel Balavoine | Petite Angèle
Daniel Balavoine | Pour la femme veuve qui s'éveille
Daniel Balavoine | Sauver l'Amour
Daniel Balavoine | Soulève-moi
Daniel Balavoine | Tous les cris, les S.O.S
Daniel Balavoine | Un enfant assis attend la pluie
Daniel Balavoine | Vendeurs de larmes
Daniel Balavoine | Vivre ou survivre
Daniel Gérard | Viens
Daniel Guichard | Ce n'est pas à Dieu que j'en veux
Daniel Guichard | Chanson pour Anna
Daniel Guichard | Croire au bonheur
Daniel Guichard | Dieu te garde
Daniel Guichard | Envoyez la musique
Daniel Guichard | Faut pas pleurer comme ça
Daniel Guichard | J'aimerais
Daniel Guichard | Je n'fais rien
Daniel Guichard | Je t'aime, tu vois...
Daniel Guichard | Je viens pas te parler d'amour
Daniel Guichard | La nuit
Daniel Guichard | La tendresse
Daniel Guichard | Le droit de vivre
Daniel Guichard | Le gitan
Daniel Guichard | Mon vieux
Daniel Guichard | Pardon Maman
Daniel Guichard | Plus bleu que le bleu de tes yeux
